Month,GBP/USD,JPY/USD,ZAR/USD,EUR/USD
Sep 2020,1.2951,0.009469,0.0598,1.1787
Oct 2020,1.2977,0.009505,0.0608,1.1768
Nov 2020,1.3219,0.009578,0.0643,1.1841
Dec 2020,1.3453,0.009635,0.0671,1.2174
Jan 2021,1.3637,0.00964,0.0669,1.2163
Feb 2021,1.3863,0.00949,0.0672,1.2095
Mar 2021,1.3863,0.0092,0.067,1.1909
Apr 2021,1.3835,0.00916,0.0705,1.1952
May 2021,1.4062,0.00916,0.0705,1.2135
Jun 2021,1.4024,0.00908,0.0725,1.2044
Jul 2021,1.3814,0.00907,0.0714,1.1832
Aug 2021,1.3799,0.0091,0.0705,1.1769
Sep 2021,1.375,0.00908,0.0705,1.1765
Oct 2021,1.3677,0.00885,0.0705,1.1601
Nov 2021,1.3455,0.00877,0.0705,1.141
Dec 2021,1.3301,0.00879,0.0666,1.13
Jan 2022,1.3557,0.008708,0.0644,1.1325
Feb 2022,1.3533,0.008675,0.0656,1.1341
Mar 2022,1.3173,0.008442,0.0667,1.101
Apr 2022,1.2958,0.007933,0.0667,1.0831
May 2022,1.2448,0.00776,0.0629,1.0569
Jun 2022,1.233,0.007469,0.0633,1.0574
Jul 2022,1.201,0.007328,0.0595,1.0203
Aug 2022,1.1978,0.007392,0.0599,1.0122
Sep 2022,1.1339,0.007004,0.057,0.9918
Oct 2022,1.1283,0.006807,0.0552,0.9832
Nov 2022,1.1735,0.007032,0.0572,1.0204
Dec 2022,1.2171,0.007409,0.0578,1.0585
Jan 2023,1.2237,0.00768,0.058602,1.0781
Feb 2023,1.2073,0.00752,0.0559,1.0711
Mar 2023,1.2128,0.00748,0.054711,1.0705
Apr 2023,1.2437,0.007495,0.055134,1.0977
May 2023,1.2479,0.007291,0.052495,1.0883
Jun 2023,1.2628,0.007084,0.053285,1.0837
Jul 2023,1.2871,0.00708,0.054843,1.1053
Aug 2023,1.2706,0.006911,0.053344,1.0914
Sep 2023,1.2402,0.006772,0.052729,1.0686
Oct 2023,1.2172,0.006689,0.052504,1.0566
Nov 2023,1.241,0.00667,0.053959,1.0809
Dec 2023,1.2664,0.006949,0.053728,1.0917
Jan 2024,1.2701,0.006851,0.053284,1.0917
Feb 2024,1.2622,0.006688,0.052625,1.0794
Mar 2024,1.2716,0.006679,0.052988,1.087
Apr 2024,1.2512,0.0065,0.052957,1.0726
May 2024,1.2634,0.00642,0.054328,1.0807
Jun 2024,1.271,0.00633,0.054266,1.0765
Jul 2024,1.2863,0.006333,0.054875,1.0851
Aug 2024,1.2933,0.006834,0.055402,1.1015
Sep 2024,1.3217,0.006986,0.056783,1.1107
Oct 2024,1.3045,0.006681,0.056948,1.0904
Nov 2024,1.275,0.006515,0.055823,1.0636
Dec 2024,1.2647,0.006502,0.054899,1.0479
Jan 2025,1.2349,0.0064,0.0534,1.0917
Feb 2025,1.2524,0.0066,0.0541,1.0794
Mar 2025,1.2889,0.0067,0.0546,1.087
Apr 2025,1.2978,0.0068,0.0523,1.0726
